VERTICES 28001
-6.357 -54.565 -0.767
-8.135 -54.797 -2.909
-9.063 -55.228 -0.708
-22.337 -39.062 -30.229
-26.051 -36.603 -31.472
-24.586 -38.495 -30.991
1.496 -49.175 -15.225
85.414 -6.367 0.885
76.992 24.974 4.659
77.223 25.332 2.951
-72.500 56.130 -14.294
-72.450 56.462 -17.340
-48.756 43.787 -10.017
-47.355 -54.643 -29.825
-48.303 -53.502 -28.346
-38.611 -55.445 -26.362
25.683 -41.386 17.797
27.213 -45.557 16.906
25.060 -43.872 14.717
48.149 -43.272 32.544
48.717 -43.561 32.815
16.867 16.162 -4.032
28.295 13.724 0.322
29.535 14.103 0.866
28.225 16.176 -1.405
72.576 -37.294 -0.513
71.140 -37.455 -0.956
78.637 -51.189 2.857
-37.167 26.618 5.506
-36.855 26.318 3.829
-37.081 27.069 4.049
-38.776 19.005 14.470
-15.176 -48.479 -29.154
-12.374 -50.893 -29.098
-25.203 -48.598 -17.707
-27.684 -51.426 -16.392
-29.095 -41.496 -35.286
-28.413 -42.145 -34.932
-28.782 -39.181 -34.272
-37.217 -53.761 -22.623
-36.219 -50.694 -20.660
30.098 -48.434 -5.014
38.863 -44.339 -26.719
37.697 -43.995 -26.207
-52.935 23.087 11.419
-37.031 24.815 12.208
-36.446 26.037 11.797
-53.291 49.079 -19.205
-74.235 60.467 -8.501
-74.160 60.460 -10.708
-55.307 50.783 -15.547
-60.340 53.210 -15.255
-57.181 51.401 -18.994
-33.959 59.061 -4.189
-35.543 59.727 -2.744
-44.597 58.405 -7.981
-42.397 58.526 -7.312
-36.798 50.555 -10.632
-35.504 52.094 -9.492
55.493 -48.268 22.250
54.417 -46.894 24.267
56.234 -47.863 23.029
33.382 -39.844 28.241
32.576 -39.914 29.437
34.108 -40.598 29.833
37.468 -25.235 -11.022
39.157 -25.694 -10.814
36.821 -25.226 -10.912
36.968 -24.140 -14.106
37.913 -24.573 -12.201
-61.590 -42.071 8.902
-62.723 -42.948 6.621
-63.335 -40.637 7.566
-50.869 -50.798 10.576
-52.149 -50.010 10.837
69.690 -7.062 2.507
70.436 -8.366 1.274
-37.027 -25.542 22.670
-38.661 -24.710 23.234
-35.615 -21.738 13.866
-36.299 -23.700 16.574
82.415 23.857 0.782
80.559 19.069 2.361
94.912 23.726 3.220
94.834 23.246 1.835
85.100 11.266 8.626
84.720 12.023 9.277
33.980 -34.070 30.379
34.193 -33.926 29.118
38.647 -33.862 31.043
40.099 -34.810 29.098
38.668 -34.465 31.962
-58.534 34.951 -7.273
-59.120 34.758 -5.748
-46.971 35.227 -12.941
-44.688 36.510 -11.852
-41.384 38.931 6.530
-40.836 39.464 6.395
-29.775 38.259 25.628
-28.241 37.026 26.753
-30.508 35.987 25.177
19.981 25.318 25.870
36.212 15.681 23.511
34.247 14.991 23.190
29.779 11.189 21.608
32.973 12.629 21.162
27.526 7.566 5.960
-26.600 46.564 29.432
-24.879 46.860 30.360
-5.851 52.993 -0.182
-2.066 53.080 1.262
-1.309 54.435 1.227
-15.492 36.574 -4.531
-12.297 35.965 -3.761
-16.572 40.071 31.753
-13.835 39.807 29.388
93.571 20.117 7.467
76.481 30.615 4.908
76.835 31.870 3.915
13.704 28.716 1.758
13.500 29.680 3.573
26.537 31.733 -0.532
28.442 31.309 -1.133
28.254 33.525 -0.007
-74.466 23.258 0.290
-74.551 26.773 -9.995
88.348 -24.628 -13.884
87.363 -28.780 -12.286
85.542 -22.386 -20.213
-35.585 11.483 -8.604
-37.057 11.388 -8.491
-27.837 26.669 -3.915
-29.383 26.933 -3.423
-19.036 -50.791 32.312
-40.380 -47.059 27.785
-13.467 -50.726 20.861
-11.139 -49.884 23.094
-31.214 -53.951 22.001
53.690 -26.299 20.492
53.060 -25.289 19.555
53.835 -26.591 17.780
45.218 -34.207 25.694
42.581 -32.829 26.137
45.556 -31.899 26.642
70.805 -52.044 -22.757
71.535 -50.637 -23.948
56.527 -53.896 -14.933
60.642 -53.733 -14.024
-64.988 -50.369 22.114
-66.982 -49.896 22.036
-40.511 -44.725 27.719
78.415 25.404 9.803
77.595 27.386 8.338
54.069 34.874 17.542
71.109 6.889 5.550
71.879 10.645 11.995
70.722 12.529 12.821
72.055 11.626 12.070
67.736 6.290 16.987
67.412 7.873 18.138
-40.673 38.972 15.458
-49.318 43.112 17.571
-40.979 39.523 17.913
-40.762 39.790 18.966
-60.818 40.306 6.759
-62.840 42.045 5.014
-62.662 40.567 6.545
28.685 -49.411 -11.692
29.778 -49.977 -13.446
25.266 -40.878 -8.077
-22.756 -14.788 5.010
-23.961 -14.875 4.481
-12.011 4.153 8.314
