VERTICES 1400
64.150 -32.935 -10.902
35.861 10.816 -2.728
40.880 22.714 19.260
-7.701 -21.748 -11.390
45.654 -13.676 3.238
-41.869 -9.676 7.357
-35.588 -44.796 13.370
79.287 -1.922 3.718
72.912 49.142 -7.963
-52.474 26.511 -21.403
-46.384 -31.174 14.679
-53.859 -22.939 7.436
48.388 38.559 28.189
-20.300 23.848 -14.541
-35.700 34.603 29.691
-29.031 14.280 -6.770
-27.334 -41.177 8.419
84.465 4.958 -2.267
77.177 -27.385 -0.950
-33.542 -25.038 0.127
-33.590 -56.449 6.614
-41.802 -56.138 8.253
35.737 41.310 -30.106
-39.692 20.757 -14.673
81.493 -24.721 -0.043
93.614 -22.427 -2.160
-9.875 -33.930 4.331
84.921 14.498 16.880
76.781 -22.986 -8.331
36.003 48.043 24.965
25.248 45.449 19.334
-17.791 -48.010 -20.510
2.372 37.520 20.073
2.611 52.267 26.531
38.670 -20.089 -25.226
40.981 -14.604 -22.938
-62.458 42.235 7.910
2.056 -41.254 -0.578
33.816 9.446 -8.424
55.084 -29.666 -1.198
64.651 -8.335 0.744
50.451 42.295 22.974
-4.628 -46.792 -4.067
55.736 13.686 22.433
-31.429 2.635 10.841
-47.675 42.560 31.576
-7.155 22.947 -25.751
-4.448 50.612 -13.598
62.308 2.375 -21.568
60.979 -8.967 -23.197
54.533 -39.736 -12.151
59.652 54.327 -4.816
67.845 33.944 8.866
44.471 31.549 32.349
33.956 46.995 23.513
-7.160 -54.357 1.698
-47.246 43.970 20.751
-15.854 55.344 -30.916
-22.697 -57.465 -25.231
-13.129 -35.814 -21.959
-38.914 -36.226 -11.097
23.561 37.334 -11.100
-36.516 -16.520 -13.947
-26.583 38.895 33.847
-17.893 53.807 4.472
-52.293 -54.459 -1.720
1.687 17.941 11.165
72.946 24.597 24.291
-50.909 -57.489 1.661
-13.442 56.269 -22.516
-57.722 46.907 -9.176
-66.208 -59.512 4.594
-33.940 55.897 12.588
-27.833 -14.751 -19.001
-33.427 -39.923 3.333
56.897 33.998 0.548
47.351 48.980 -38.521
-6.185 41.165 22.292
-15.208 -52.515 -26.061
15.243 8.711 -23.005
-39.130 -48.821 -19.302
-6.690 -37.646 2.720
-19.910 19.203 -0.559
-14.333 -63.471 1.709
55.558 14.431 28.083
56.524 23.966 28.613
-12.242 -63.002 0.653
-63.823 49.928 -16.579
77.489 -3.390 -10.839
91.784 -22.665 -6.455
-34.313 48.435 39.444
-65.630 31.155 2.654
-37.411 55.246 -3.650
96.885 -30.025 2.383
51.848 8.997 -24.626
-41.724 -14.134 -7.382
-69.673 -44.224 -0.572
-61.349 -50.620 20.256
67.741 8.627 -3.342
-37.420 51.198 18.324
-44.754 16.111 -14.351
-70.014 -32.013 22.308
-62.216 46.053 -25.183
-19.562 -22.765 6.965
-48.064 35.130 24.029
-23.775 -36.462 -27.677
-6.306 19.742 -22.325
-29.769 -27.399 5.809
74.727 -20.966 -4.906
49.540 47.964 -31.965
73.493 -14.315 -7.466
74.484 -13.895 -4.875
38.354 52.305 13.957
-29.687 53.299 -2.103
-69.055 -57.232 6.405
94.797 -16.083 -3.078
-32.628 11.921 12.972
-59.862 -25.318 21.687
27.516 49.915 11.045
53.105 13.569 18.098
65.826 -23.081 -7.227
-38.033 -27.988 8.730
-72.679 -34.756 17.740
71.698 55.555 14.583
37.301 28.302 5.587
-25.174 44.610 25.737
44.077 24.312 16.149
79.917 45.128 6.566
79.658 44.659 4.022
-70.199 -30.238 6.746
-39.566 -37.179 -13.322
-4.458 -59.956 -19.343
-60.604 16.755 12.748
43.748 10.853 19.983
-66.713 -22.764 26.278
50.083 21.316 1.837
-14.296 -3.317 -8.923
-12.371 37.291 -22.162
-64.020 -32.300 1.193
-62.034 -29.431 0.111
-67.377 -57.421 9.842
-18.710 -73.112 -12.043
80.398 34.269 27.076
-32.297 55.482 -11.732
-11.820 -37.667 4.596
84.489 -16.447 -11.555
-15.459 -62.843 -11.018
27.057 41.165 3.392
-6.057 -40.695 0.887
-15.690 -47.324 5.522
21.417 49.426 12.907
33.964 30.376 -24.678
-15.222 16.349 -3.498
74.976 13.998 16.523
31.090 -37.554 -9.971
31.606 47.383 7.902
-44.971 -40.256 15.033
58.861 18.142 -8.516
-55.675 25.109 -14.148
2.787 48.707 1.659
-80.947 -25.389 4.416
-23.315 -37.352 8.140
41.278 26.400 25.815
-53.741 -45.708 -8.505
50.674 2.791 16.966
25.623 35.215 5.311
-58.269 -30.992 12.503
53.089 24.384 -18.860
41.001 48.900 -34.340
-19.654 -24.613 5.443
68.289 -20.612 -13.387
50.779 34.758 23.780
44.515 44.858 20.064
21.212 46.983 22.270
-27.722 -45.900 -26.046
-3.526 45.531 23.624
81.554 -6.244 -3.692
-15.234 -45.370 3.928
