VERTICES 2805
-39.961 28.943 -4.598
-74.946 35.972 -17.741
71.903 -54.998 -14.464
36.333 -27.300 -4.930
-22.844 -46.544 -24.868
52.205 -46.288 23.723
-75.742 27.606 -24.032
44.582 -21.846 -17.068
43.828 -22.941 -16.428
79.123 -46.674 -6.690
79.967 -43.958 -3.764
-70.760 31.776 -6.042
81.639 7.849 3.675
-40.602 38.937 12.636
-10.615 -41.222 30.573
-44.849 52.027 17.362
-35.478 49.895 22.907
20.021 -45.646 -13.079
-2.726 63.462 20.931
16.881 -52.547 -25.885
80.809 -26.019 -4.293
-62.309 -14.926 -12.532
50.524 -30.190 -16.420
45.363 -7.843 -19.974
-27.844 55.461 20.643
-68.336 24.355 -26.313
-63.769 53.673 -18.646
48.401 -20.525 -2.026
-15.518 4.315 8.902
-13.277 -36.492 22.767
-65.608 34.018 -0.898
-62.977 30.607 0.429
-69.009 59.470 -9.660
-19.700 75.368 12.513
-50.151 -37.822 -21.810
81.602 28.743 6.354
-55.113 51.626 2.159
44.890 -1.718 -11.703
44.138 4.067 -11.701
70.089 -10.907 -1.445
26.016 -23.235 6.297
79.343 -31.216 -26.900
-36.537 -55.255 9.622
-43.573 -48.652 -39.433
-29.971 -45.861 -35.480
-13.097 38.725 -4.221
-12.342 40.038 -4.226
44.183 -17.743 -19.056
88.421 20.356 9.957
83.510 15.791 12.557
-18.875 65.306 10.393
17.338 -45.354 -18.738
41.730 -41.267 35.889
26.672 -40.418 -3.125
-6.879 42.523 -0.587
-16.639 49.239 -5.284
-35.207 25.005 16.126
31.482 -44.496 20.470
20.958 -48.788 -12.766
49.803 -34.896 -29.041
33.116 -31.035 24.913
-17.915 -16.984 2.351
73.000 -18.897 -20.161
69.298 -24.611 -20.475
30.758 39.341 10.414
53.489 -46.087 25.000
31.412 -46.707 -7.658
-56.343 31.124 5.211
-46.744 42.347 -12.137
-44.110 43.771 3.645
-21.550 -21.496 -12.821
-21.709 -41.801 26.569
60.640 -15.070 8.958
-49.965 -54.318 -8.347
59.269 32.047 8.253
-57.152 -24.150 14.647
-67.543 -51.536 27.695
-48.645 -51.508 -33.051
2.927 -46.775 2.059
53.016 30.909 22.349
-59.582 47.987 -11.379
-81.352 26.253 -2.674
-79.259 23.387 -1.710
74.678 -54.966 -3.298
88.480 14.038 3.884
-25.545 39.530 -7.774
40.647 -25.485 -24.513
-57.537 47.395 9.261
50.341 -0.560 -16.079
25.278 -33.890 -4.553
-58.595 31.797 -12.363
52.244 -22.898 20.555
-28.392 55.728 -6.645
-23.746 -36.801 20.266
-20.497 -31.506 20.790
41.035 -47.748 35.601
95.232 12.870 2.869
-17.266 28.783 -2.974
-20.656 26.229 -5.203
-25.708 26.591 -4.850
68.471 19.958 13.979
47.518 -38.922 -20.106
43.312 -46.378 -24.042
50.817 -33.996 -23.798
44.376 -44.067 -19.903
-41.836 -38.365 -43.115
-44.718 -39.659 -43.450
-71.191 35.971 -16.511
62.528 -39.180 14.554
20.395 -46.196 -21.705
-49.730 33.830 10.887
-28.830 47.796 26.702
-4.957 -44.047 -23.208
82.280 5.926 4.362
-14.923 47.552 -2.879
-16.917 47.296 -4.286
-5.383 29.605 15.943
-7.921 33.109 12.015
19.967 5.699 -3.358
-66.867 57.666 -13.298
51.906 -20.014 -20.200
-10.965 2.413 7.192
48.495 -48.733 33.271
-38.697 -54.846 -12.697
-16.769 55.632 -2.556
24.501 -45.624 -7.728
97.945 30.124 1.079
-78.744 55.509 -1.491
-0.442 69.236 19.041
-52.523 51.182 10.671
-64.344 -45.069 27.551
-39.747 42.958 5.269
-74.086 59.216 -9.631
-51.549 22.657 10.438
-65.505 25.239 4.100
-57.481 23.956 4.893
-24.382 71.592 14.014
36.715 12.514 2.833
33.443 8.734 11.201
91.427 13.071 5.101
-17.888 61.963 -3.435
29.324 7.665 18.529
-12.245 28.532 -3.412
10.375 30.011 10.569
10.692 34.707 13.561
-30.852 -48.684 -36.567
-4.433 -33.136 -17.935
28.249 -38.631 27.152
74.901 -48.493 6.231
71.510 -43.761 4.354
-18.820 50.401 21.567
-14.902 41.882 21.829
74.512 22.120 9.982
77.120 23.255 9.693
76.874 24.567 6.590
-7.942 30.915 -1.437
-14.208 -11.811 9.812
-72.622 50.991 2.712
-67.987 40.911 0.186
5.613 -41.245 9.490
52.793 -40.408 29.158
-34.286 -13.731 -14.427
-27.953 -20.154 6.931
-20.990 51.908 -4.443
-14.725 -51.840 -16.070
25.761 -49.165 -7.030
13.466 38.203 14.158
-40.366 38.549 0.867
46.304 -15.695 -30.115
-59.240 -41.298 18.760
-13.815 9.729 12.319
-60.696 36.269 -16.406
-44.452 36.572 5.292
-47.828 -46.890 18.324
-43.607 22.727 14.452
42.734 -14.003 -21.017
-38.393 37.716 -7.568
22.912 -50.067 -8.966
47.665 -7.683 -27.159
95.664 16.881 3.284
-55.661 53.009 -8.421
-52.877 32.060 -13.377
-8.869 46.142 15.425
-6.599 42.317 17.176
-33.204 40.805 20.434
34.679 -42.618 31.887
67.264 -39.425 -2.897
4.683 -41.332 -16.039
-24.478 -55.333 19.247
46.905 -44.129 21.279
-57.287 46.460 -2.136
-25.841 54.623 26.162
-30.772 52.083 23.925
-23.422 54.750 28.503
-18.983 -27.390 -19.655
76.206 -42.744 0.601
48.449 -24.777 26.238
40.856 -52.287 40.076
-63.118 -43.408 16.114
100.000 19.768 1.541
47.530 4.337 -16.106
74.546 -52.522 -6.126
56.049 -55.318 -21.540
-8.900 -49.087 26.642
74.183 21.997 5.914
-18.588 31.416 26.769
55.885 -26.720 4.266
52.987 -23.212 1.890
-64.940 -15.683 -5.251
-70.092 -49.630 18.820
78.980 9.433 1.850
-48.224 -38.328 19.502
-50.516 -40.218 15.479
63.199 -1.159 -0.799
-9.465 -4.949 4.859
-25.143 -12.738 2.997
-14.665 14.010 15.214
-29.399 -40.379 27.110
40.785 -53.728 39.528
-41.795 28.188 8.207
-44.991 28.226 10.192
-24.313 66.668 8.121
8.358 24.167 2.729
4.132 22.640 8.420
41.155 -34.782 25.676
-25.835 -52.420 30.573
-55.588 -45.551 -16.197
-59.328 -41.466 -15.335
38.807 39.466 16.313
-83.379 29.300 -7.209
-23.434 57.704 1.780
-33.924 59.305 -0.721
63.535 -11.673 8.830
0.233 33.299 0.874
-5.740 38.280 -0.463
9.438 73.415 22.979
-12.130 -8.608 9.905
61.065 -34.692 -4.608
-60.644 -36.759 -15.716
-48.411 35.844 -4.529
57.863 38.423 10.625
-32.700 25.757 -11.668
34.764 42.297 14.283
-47.293 50.322 -11.042
-20.491 66.878 11.080
43.421 -47.743 -21.577
-39.503 34.793 19.033
-34.470 -12.207 11.926
26.827 11.558 24.131
-12.779 65.610 12.782
-13.381 36.889 28.212
23.776 -2.803 11.855
33.117 44.263 12.819
34.187 42.568 12.978
-43.722 -36.494 -42.598
-6.508 10.137 9.787
-2.791 -21.796 -14.048
-23.451 -6.556 6.120
-35.060 33.215 -11.542
-10.556 59.634 14.910
-13.183 58.145 14.202
-43.585 15.129 0.606
-39.416 18.793 0.962
-44.422 53.645 -9.946
-54.996 48.587 4.535
39.190 30.517 26.028
45.974 -53.862 -30.366
-28.587 -32.691 -33.157
46.172 -35.134 -15.244
-51.666 52.311 14.916
48.277 7.361 -13.780
50.084 -34.076 -20.221
-55.282 25.738 -19.154
-61.136 53.848 -18.480
-57.648 51.682 -20.400
24.337 0.533 18.069
52.310 -55.559 -17.188
27.735 15.959 25.476
-55.230 -25.312 19.528
-36.807 26.482 19.740
-21.454 -4.152 7.945
82.151 -42.093 -22.808
76.154 -48.041 -24.716
-56.069 -2.155 -10.719
-64.927 34.112 -18.706
-4.705 -54.314 0.305
-42.952 23.729 13.788
-64.975 29.581 2.317
-55.602 46.342 -5.848
53.073 -21.966 -22.294
45.475 -12.071 -17.773
72.855 16.117 11.705
51.704 -8.181 -25.122
20.792 41.419 13.128
71.558 -5.093 0.135
52.852 -28.086 -21.926
51.567 -28.345 -20.648
-54.479 50.529 -14.325
-48.857 50.826 -14.279
20.373 -44.399 -27.760
25.625 -45.843 -27.566
-11.626 -37.532 26.068
54.929 35.213 15.452
31.770 -37.720 26.128
29.707 -47.280 -11.671
92.600 24.051 6.443
16.971 18.049 -4.080
-45.474 31.366 14.229
-45.460 24.448 15.960
78.255 13.335 3.569
83.076 11.039 4.334
-85.893 40.407 -17.793
-72.149 47.974 -4.156
70.076 23.628 9.989
64.513 26.779 7.963
69.409 26.253 11.471
-46.906 -38.540 21.966
-14.060 -26.475 -14.959
-24.044 63.700 27.262
41.819 -47.445 -21.081
-17.064 56.717 14.496
-67.219 52.730 -8.228
-71.498 53.787 -10.130
43.001 15.760 23.957
64.235 -54.507 3.189
-66.835 24.868 -10.797
-29.297 -54.114 -35.315
-13.095 32.967 -3.464
-7.917 53.809 3.712
35.699 9.165 9.206
36.467 9.080 13.118
-41.329 -15.752 -18.479
-36.030 -49.732 16.905
56.944 -24.240 1.883
97.074 19.328 5.134
91.809 17.906 2.054
-55.252 -46.278 28.321
-9.814 -17.128 20.855
1.713 -8.178 24.842
-40.992 -42.529 -40.133
-48.845 -44.840 -23.867
-53.479 -8.241 -15.139
-52.808 1.133 -10.454
39.888 -55.628 13.125
31.641 -55.006 3.310
-14.175 4.760 8.935
96.786 13.973 4.373
-47.998 44.266 -0.585
4.165 43.068 3.215
-55.858 40.204 12.144
75.500 -36.771 -6.298
76.626 -34.448 -5.933
-18.224 27.468 -5.664
52.703 -24.585 -22.854
-79.414 29.108 -3.857
-39.001 60.046 -1.120
-61.439 47.159 -18.181
-62.825 45.937 -15.160
-60.771 33.748 -13.570
15.717 -23.898 9.743
49.109 41.601 12.547
-66.978 -23.466 -4.264
-85.726 39.346 -17.004
27.438 -33.019 -0.319
26.283 -33.088 -2.583
-71.634 45.803 -1.948
13.772 38.494 12.521
-13.587 48.415 31.091
41.037 1.292 17.531
-66.953 42.424 5.061
74.497 -22.298 -6.092
-31.651 44.833 -9.789
-17.546 -53.809 7.728
-63.076 22.975 3.506
-48.396 26.035 0.058
-25.942 -39.407 26.151
-4.683 35.575 16.823
44.030 -48.795 -19.569
43.080 -48.818 -20.631
-24.493 -9.858 4.641
-12.444 39.284 26.156
-0.598 -2.905 23.045
11.051 3.862 25.713
42.301 -51.363 35.214
87.985 29.075 5.603
-19.571 -40.062 28.420
-69.772 53.082 -0.650
-29.607 -50.256 -29.913
-29.268 -44.927 -25.729
28.627 42.429 13.858
-21.415 36.544 -5.938
-40.972 28.934 -10.512
8.674 -23.473 -7.720
47.616 -20.260 -17.204
41.787 -55.468 8.645
-59.614 -40.827 20.501
4.964 28.393 12.345
0.013 22.578 11.777
64.149 23.519 3.366
44.167 -42.271 -21.223
45.967 -40.811 -23.121
31.813 37.171 3.598
-52.951 48.870 -19.819
-62.281 -6.065 -5.661
-63.710 -9.124 -0.716
51.498 -53.364 11.150
35.339 -55.622 1.098
-34.617 33.468 19.941
-30.210 43.391 24.450
53.270 -37.579 22.507
-3.237 17.259 11.497
-47.550 36.060 -0.958
-8.753 36.428 5.339
-7.373 29.185 1.553
-5.524 32.309 0.232
51.093 -24.116 -21.296
-51.558 59.025 -2.930
-47.594 59.644 -1.134
16.052 -53.644 -16.878
26.504 -35.358 0.131
25.221 -38.631 1.642
53.394 -21.078 -21.331
52.270 -17.137 -19.315
55.030 -17.631 -21.314
54.040 -18.043 -20.641
-47.593 -44.532 24.973
-47.313 -46.631 22.832
-54.387 -42.920 27.222
-57.799 -42.718 23.283
3.012 27.845 13.099
-29.237 -48.385 -37.362
-25.091 -48.889 -36.912
40.593 -47.733 -26.908
66.643 24.315 14.008
48.423 -18.429 -17.954
88.352 8.903 4.897
87.997 14.721 8.290
-39.623 43.624 21.474
-37.435 45.762 21.191
-30.887 -31.532 -25.335
-73.375 50.025 -5.992
-36.078 42.281 -6.127
-3.132 -46.950 -10.859
-40.459 51.907 -8.952
44.500 -10.234 -17.987
3.319 9.822 -3.258
32.698 -35.006 30.407
37.703 -34.310 32.750
-40.213 51.573 20.040
-37.827 37.489 18.896
32.721 -27.660 -16.104
20.825 37.029 11.397
-68.547 58.884 -17.040
-45.246 -19.387 21.727
-3.246 -52.232 -13.638
-3.632 -51.604 -13.232
-63.137 58.661 -12.545
72.604 -41.096 3.817
-21.072 34.257 28.206
-2.874 -50.121 -29.161
49.438 -28.503 -19.278
81.255 6.110 9.565
-36.246 -35.702 -38.339
70.164 -20.589 -8.452
-7.469 -34.400 27.400
-54.754 -19.179 16.288
20.947 -51.084 -7.084
-9.291 29.928 3.424
-39.278 27.597 6.039
